iso_a3,country,date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,cvd_death_rate
CHE,Switzerland,2020-06-14,31011.0,1676.0,3583.1740000000004,193.65400000000002,99.73899999999999
SYR,Syria,2020-06-14,170.0,6.0,9.714,0.34299999999999997,376.264
TWN,Taiwan,2020-06-14,443.0,7.0,18.6,0.294,103.95700000000001
TJK,Tajikistan,2020-06-14,4971.0,50.0,521.198,5.242000000000001,427.69800000000004
TZA,Tanzania,2020-06-14,509.0,21.0,8.521,0.35200000000000004,217.28799999999998
THA,Thailand,2020-06-14,3134.0,58.0,44.9,0.831,109.861
TLS,Timor,2020-06-14,24.0,0.0,18.203,0.0,335.346
TGO,Togo,2020-06-14,530.0,13.0,64.01899999999999,1.57,280.033
TTO,Trinidad and Tobago,2020-06-14,117.0,8.0,83.602,5.716,228.467
TUN,Tunisia,2020-06-14,1094.0,49.0,92.566,4.146,318.991
TUR,Turkey,2020-06-14,176677.0,4792.0,2094.842,56.818000000000005,171.285
TCA,Turks and Caicos Islands,2020-06-14,12.0,1.0,309.933,25.828000000000003,
UGA,Uganda,2020-06-14,694.0,0.0,15.172,0.0,213.333
UKR,Ukraine,2020-06-14,30506.0,880.0,697.539,20.122,539.849
ARE,United Arab Emirates,2020-06-14,41900.0,288.0,4236.431,29.119,317.84
GBR,United Kingdom,2020-06-14,294375.0,41662.0,4336.314,613.705,122.137
USA,United States,2020-06-14,2074526.0,115436.0,6267.4,348.746,151.089
VIR,United States Virgin Islands,2020-06-14,72.0,6.0,689.503,57.458999999999996,273.67
URY,Uruguay,2020-06-14,847.0,23.0,243.83,6.621,160.708
UZB,Uzbekistan,2020-06-14,4994.0,19.0,149.21200000000002,0.568,724.4169999999999
VAT,Vatican,2020-06-14,12.0,0.0,14833.127,0.0,
VEN,Venezuela,2020-06-14,2904.0,24.0,102.124,0.8440000000000001,204.85
VNM,Vietnam,2020-06-14,334.0,0.0,3.431,0.0,245.465
ESH,Western Sahara,2020-06-14,23.0,1.0,38.505,1.6740000000000002,
YEM,Yemen,2020-06-14,705.0,160.0,23.636999999999997,5.364,495.00300000000004
ZMB,Zambia,2020-06-14,1357.0,10.0,73.814,0.544,234.49900000000002
ZWE,Zimbabwe,2020-06-14,356.0,4.0,23.951999999999998,0.26899999999999996,307.846
OWID_WRL,World,2020-06-14,7759691.0,430127.0,995.4960000000001,55.181000000000004,233.07
